web-scraper-order,web-scraper-start-url,bookurl,bookurl-href,booktitle,bookseries,booknumber,bookauthor,bookcoverart,booktagline,publication,wikipagetext
"1585612518-537","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Mystery_Diary","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Mystery_Diary","Mallory and the Mystery Diary","The Baby-Sitters Club","29","Ann M. Martin","Hodges Soileau","A locked trunk and a secret diary all add up to... a mystery for the Baby-sitters!","November 1989","When Mallory begins to read deep into Sophie’s diary she discovers a mystery that haunts Stacey’s house. Sophie’s mom died two days after giving birth to Sophie‘s brother Edgar, and three days after her mom was buried, a portrait of her disappeared from Sophie’s grandfather‘s house. Sophie’s grandfather is also known as Grandfather Hickman or Old Hickory who was the meanest, richest person in Stoneybrook and is rumored to haunt the Stoneybrook Cemetery. Grandfather Hickman accused Jared (Sophie’s dad) of stealing the painting and everyone believed him since Jared is known for his shady past and being arrested twice. As a result of this, Hickory wrote Sophie, Edgar, and Jared out of his will and stopped lending them money."
"1585612543-596","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Maggie_(California_Diaries)","https://babysittersclub.fandom.com/wiki/Maggie_(California_Diaries)","Maggie (California Diaries)","California Diaries","3","Ann M. Martin","null","Perfect. Always. Pressure.","October 1997","For Maggie’s father, nothing but perfect will do. Not only is he obsessed with his job as a studio executive, he expects Maggie to have a detailed plan for her life, which unfortunately leaves no room for her true passion: music."
"1585612531-567","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Maid_Mary_Anne","https://babysittersclub.fandom.com/wiki/Maid_Mary_Anne","Maid Mary Anne","The Baby-Sitters Club","66","Ann M. Martin, Nola Thacker","Hodges Soileau","Mary Anne's a baby-sitter — not a housekeeper!","August 1993 (original)","Dear Reader,"
"1585612955-1351","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","Claudia and the Clue in the Photograph","The Baby-Sitter's Club Mystery","16","Ann M. Martin, Ellen Miles","Hodges Soileau","Has Claudia caught a thief — on film?","August 1994","The girls are disappointed until Claudia gets another idea; she enlarges various parts of the different pictures & asks the BSC to come over early for their meeting to check them out. Stacey notices that Mr. Zibreski (even though he has a fancy pocketwatch) keeps checking the wristwatch he’s wearing. Then, Jessi notices that the time on the pocketwatch never changes. Claudia thinks that he might be hiding a key to a safe deposit box in the watch & she is correct."
"1585612994-1444","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Island_Adventure","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Island_Adventure","Baby-sitters' Island Adventure","Super Special","4","Ann M. Martin","Hodges Soileau","Who thought they'd end up...shipwrecked?","July 1990",""
"1585612715-893","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Troublemaker","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Troublemaker","Jessi and the Troublemaker","Baby-Sitters Club","82","Ann M. Martin","Hodges Soileau","A little fun never hurt anyone — right?","February 1995","Jessi and the Troublemaker is the 82nd book in The Baby-Sitters Club series."
"1585612317-250","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Mall","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Mall","Stacey and the Mystery at the Mall","The Baby-Sitters Club Mystery","14","Ann M. Martin, Ellen Miles","Hodges Soileau","Shopping has become a dangerous business...","April 1994","There is also some evidence that somebody’s been sleeping in the movie theater at night and using the kitchen at Casa Grande to cook. The girls think that it might be three grubby-looking kids whom they have seen all around the mall which would explain why the smaller items have been disappearing , but it doesn’t explain how & why the larger items are being stolen. The girls believe that Mr. Morton, the new mall manager might be responsible for that because he would know how to get around security to steal things without being seen and would have access to locked storage areas. They even saw him talking to the three kids on the security cameras."
"1585612363-308","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Poor_Mallory!","https://babysittersclub.fandom.com/wiki/Poor_Mallory!","Poor Mallory!","The Baby-Sitters Club","39","Ann M. Martin","Hodges Soileau","Why can't everyone live like this?","November 1990","Nicky gets a paper route, Vanessa tries selling her poetry, and Mallory takes baby-sitting jobs in Kristy's ritzy neighborhood. But being around the Delaneys only makes Mallory feel poor. They have a cat that cost $400 and tennis courts in their backyard!"
"1585612793-1062","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Move","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Move","Dawn's Big Move","The Baby-Sitters Club","67","Ann M. Martin, Peter Lerangis","Hodges Soileau","How could Dawn leave her best friends?","September 1993 (original)","Dawn's Big Move is the 67th book in The Baby-Sitters Club series. At then end of the book, Dawn moves back to California for 6 months. She returns to Stoneybrook in Super Special #12 Here Come the Bridesmaids!."
"1585612208-95","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Sunny,_Diary_Two","https://babysittersclub.fandom.com/wiki/Sunny,_Diary_Two","Sunny, Diary Two","California Diaries","6","Ann M. Martin","null","Waiting. Watching. Crash.","April 1998","Face it, Winslow. Read between the lines."
"1585612862-1198","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia%27s_Freind_Friend","https://babysittersclub.fandom.com/wiki/Claudia%27s_Freind_Friend","Claudia's Freind Friend","The Baby-Sitters Club","63","Ann M. Martin, Nola Thacker","Hodges Soileau","Claudia and Shea can't spell, but they can be friends!","April 1993","In Claudia’s Freind Friend, Shea Rodowsky is diagnosed as having dyslexia. I wanted to write a book about learning disabilities because my sister has dyslexia. However, this is not the first book I’ve written about the subject. I’ve also written a non-Baby-sitters Club book called Yours Turly, Shirley, about a nine-year old girl named Shirley Basini and her difficult year in fourth grade. The idea for the title, Yours Turly, Shirley, came from one of my students the year I taught fourth and fifth graders in Connecticut. The boy, who had dyslexia, made me an elaborate Christmas card. With a ballpoint pen, on a folded sheet of notebook paper, he drew Santa Claus standing next to a Christmas tree surrounded by gifts. Inside the card he wrote, “Dear Miss Martin, a very very very very very merry Christmas, and a happy New Year!!!!!!! Yours turly, Jimmy.” I treasured the card and saved it for years, and when it came time to title the book about Shirley, I thought of Jimmy. I thought of him again, and of other kids I’ve known, when I wrote about Shea. I decided Claudia would be especially understanding of Shea because she has problems in school herself."
"1585612514-529","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Trouble_with_Twins","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Trouble_with_Twins","Mallory and the Trouble with Twins","The Baby-Sitters Club","21","Ann M. Martin","Hodges Soileau","The Arnold twins aren't just bad — they're double trouble!","February 1989","When I was young, I thought it would be fun to have an identical twin sister. A popular TV show then was The Patty Duke Show, about a teenage girl and her cousin growing up in Brooklyn. Patty and Cathy were identical. They looked so much alike that they were able to fool people. I knew several sets of twins, including my cousins Lyman and Jimmy, but none of them were identical. They couldn’t get away with what Patty and Cathy could on the show. So I created twins who could — Marilyn and Carolyn Arnold. In fact, I like identical twins so much that I put a set in the Baby-sitters Little Sister series, and the newest member of the Baby-sitters Club is a twin, too. Who knows what kind of trouble Abby and her sister, Anna, will get into?"
"1585612911-1278","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Perfect_Boy","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Perfect_Boy","Claudia and the Perfect Boy","The Baby-Sitters Club","71","Ann M. Martin, Suzanne Weyn","Hodges Soileau","This wasn't exactly what Claudia had in mind...","January 1994","Once a week, I walked from house to house in the neighborhood collecting news. Just about anything anyone told me could turn into an article for the paper. I wrote about family vacations and new pets, who had won awards, and who was home sick. Also, once a week I ran a contest for the kids in the neighborhood. I didn’t have a personals column like Claudia did, and I didn’t write about gossip like Karen Brewer did in her neighborhood paper, but I had a lot of fun."
"1585612497-500","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mallory%27s_Christmas_Wish","https://babysittersclub.fandom.com/wiki/Mallory%27s_Christmas_Wish","Mallory's Christmas Wish","The Baby-Sitters Club","92","Ann M. Martin, Peter Lerangis","Hodges Soileau","How did it get out of control?","December 1995","Happy reading!
Ann M Martin"
"1585612657-783","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Kidnapper","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Kidnapper","Kristy and the Kidnapper","Baby-sitters Club: Friends Forever","9","Ann M. Martin, Ellen Miles","Jennifer Presant (cover design)","null","April 2000","Kristy and the Kidnapper is the ninth book in the Baby-sitters Club: Friends Forever series by Ann M. Martin."
"1585612408-394","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_Breaks_the_Rules","https://babysittersclub.fandom.com/wiki/Mary_Anne_Breaks_the_Rules","Mary Anne Breaks the Rules","Baby-Sitters Club","79","Ann M. Martin","Hodges Soileau","Boyfriends and baby-sitting don't mix!","October 1994","Mary Anne Breaks the Rules is the 79th book in The Baby-Sitters Club series."
"1585612347-298","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Snowbound","https://babysittersclub.fandom.com/wiki/Snowbound","Snowbound","Super Special","7","Ann M. Martin","Hodges Soileau","All the Baby-sitters wanted was a little snow — not a national disaster!","December 1991","This book takes place between books #49 and #50 in the regular series."
"1585612257-164","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey%27s_Emergency","https://babysittersclub.fandom.com/wiki/Stacey%27s_Emergency","Stacey's Emergency","The Baby-Sitters Club","43","Ann M. Martin","Hodges Soileau","Stacey just can't win.","April 1991","Stacey has been feeling pretty horrible lately. She is really thirsty and tired all the time. In case you don't know Stacey is a Type 1 diabetic and a native New- Yorker. She lived in New York all her life until, in the summer before 7th grade she and her parents moved to Stoneybrook, Connecticut. Then, just after 8th grade had started, in book # 13 she moved back to New York. Her parents promptly began fighting and they got divorced in book 28. Stacey's Mother moved back to Stoneybrook and her Father stayed in New York. When the book starts Stacey is starting to go off the diet that she has to stay on because of her diabetes. Stacey also has an upcoming weekend trip to visit her Father in New York. On the first night of the trip Stacey's father becomes worried when he hears her getting up in the middle of the night for water many times. Once, he actually confronts her and asks her to check her blood sugar. She refuses evasively and goes back to bed. In the morning they just up and leave for the hospital. Her mother comes and stays with the Cummings, leading to a whole fight about how her parents can't be in the same room as each other. At first she starts to feel better, but then she wakes up one day as bad as when she just came into the hospital. The BSC (minus Junior Members) chose that day of all days to come and visit! They also start an IV pumping insulin straight into her veins. It does bring her blood sugar down but something is wrong. Then they start mixing different types of insulin and Stacey gets better."
"1585612955-1353","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","Claudia and the Clue in the Photograph","The Baby-Sitter's Club Mystery","16","Ann M. Martin, Ellen Miles","Hodges Soileau","Has Claudia caught a thief — on film?","August 1994","Claudia's new passion for photography has her snapping pictures everywhere---at BSC meetings, at breakfast, and all over Stoneybrook. One afternoon she uses up a whole roll of film on the Stoneybrook Bank, just because she likes the way it looks."
"1585612781-1044","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn%27s_Wicked_Stepsister","https://babysittersclub.fandom.com/wiki/Dawn%27s_Wicked_Stepsister","Dawn's Wicked Stepsister","The Baby-Sitters Club","31","Ann M. Martin","Hodges Soileau","Dawn thought having a stepsister would be fun. Was she ever wrong!","February 1990","Later, Dawn and Mary Anne struggle to be best friends when they have trouble getting along such as when Mary Anne's dad Richard makes breakfast he serves Sharon bacon and he knows Sharon can't stand bacon but she says she likes whatever he feeds her for breakfast. Then again, at dinner the same problem goes on when Sharon makes tofu and Mary Anne and Richard do not eat tofu."
"1585612211-109","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Sunny,_Diary_Three","https://babysittersclub.fandom.com/wiki/Sunny,_Diary_Three","Sunny, Diary Three","California Diaries","12","Ann M. Martin","null","Just. Cry.","August 1999","Her mother knows there isn’t enough time (there will never be enough time) to say everything that needs to be said, but maybe there’s something she can give her daughter that will help ease Sunny’s pain."
"1585612907-1271","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Phantom_Phone_Calls","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Phantom_Phone_Calls","Claudia and the Phantom Phone Calls","The Baby-Sitters Club","2","Ann M. Martin","Dale Dyer (original)
Hodges Soileau (re-release, 1995)","Claudia's not sure she wants to find out who's on the other end of the line.","October 1986 (original) 
September 1995 (reprint) 
 March 2010 (reprint)
 May 5, 2020 (reprint)","It’s okay to be afraid when you’re baby-sitting at night. That’s natural. I know I was sometimes scared even when I didn’t need to be, and that was because I read a lot of mysteries, especially Nancy Drews, just like Claudia. Since I liked reading mysteries so much, I decided I would try to write one. So Claudia and the Phantom Phone Calls became the first mystery in the Baby-sitters Club series. Several more followed, and they were so popular that soon we launched the Baby-sitters Club Mysteries."
"1585612851-1175","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Disappearing_Dogs","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Disappearing_Dogs","Dawn and the Disappearing Dogs","The Baby-Sitters Club Mystery","7","Ann M. Martin, Ellen Miles","Dan Brown","Dawn's going to catch that mean old pet-napper!","February 1993","When Dawn, Mary Anne, and Kristy go back to the police station the next day to ask about the license plate number in person, they discover that the car belongs to Karl Tate, one of the richest businessmen in Stoneybrook. The girls don't believe that he has anything to do with the dog thefts, but as Dawn & Mary Anne stop at a new pet store to get something for tigger, they notice Karl Tate in the back office of the store arguing with the store owners which makes Dawn believe that he is responsible for the dog thefts, but she doesn't know how to prove it."
"1585612817-1097","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn_on_the_Coast","https://babysittersclub.fandom.com/wiki/Dawn_on_the_Coast","Dawn on the Coast","The Baby-Sitters Club","23","Ann M. Martin","Hodges Soileau","Dawn's a California girl!","April 1989","Dawn visits her Dad and brother Jeff in California and finds herself wishing she could move back."
"1585612289-202","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Stacey_vs._Claudia","https://babysittersclub.fandom.com/wiki/Stacey_vs._Claudia","Stacey vs. Claudia","Baby-sitters Club: Friends Forever","2","Ann M. Martin, Suzanne Weyn","null","null","September 1999","Let the friendship feud begin!"
"1585612747-981","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Graduation_Day","https://babysittersclub.fandom.com/wiki/Graduation_Day","Graduation Day","Baby-sitters Club: Friends Forever","Super Special #2","Ann M. Martin","null","null","October 2000","These appeared at the end of the published book."
"1585612678-820","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_Mr._Mom","https://babysittersclub.fandom.com/wiki/Kristy_and_Mr._Mom","Kristy and Mr. Mom","Baby-Sitters Club","81","Ann M. Martin","Hodges Soileau","Watson's got a brand-new job!","January 1995","Dear Reader,"
"1585612962-1370","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_Mean_Janine","https://babysittersclub.fandom.com/wiki/Claudia_and_Mean_Janine","Claudia and Mean Janine","The Baby-Sitters Club","7 (original), 4 (graphic novel)","Ann M. Martin","Hodges Soileau","Claudia's sister makes everything impossible — even baby-sitting! (original)
Claudia's sister is an impossible person to live with! (reprint)","September 1987 (original) 
 November 1995 (reprint) 
 June 2011 (reprint)
 June 2, 2020 (reprint)","Claudia's grades begin to slip, so her parents tell her that she has to either give up art and babysitting, or get better grades. Mimi begins to tutor Claudia. Claudia likes it WAY better than when Janine tutors her."
"1585612693-845","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Secret_Language","https://babysittersclub.fandom.com/wiki/Jessi%27s_Secret_Language","Jessi's Secret Language","The Baby-Sitters Club","16","Ann M. Martin","Hodges Soileau","Jessi's learning a secret language for a very special child.","September 1988 (original) 
 August 1996 (reprint)","Jessi knows a secret language! She learned it from Matt Braddock, the BSC's newest charge. Matt's been deaf since birth, and he uses sign language to speak. Since Jessi is Matt's baby-sitter, she has to use sign language, too."
"1585612707-880","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Jessi%27s_Baby-sitter","https://babysittersclub.fandom.com/wiki/Jessi%27s_Baby-sitter","Jessi's Baby-sitter","The Baby-Sitters Club","36","Ann M. Martin","Hodges Soileau","Jessi doesn't need baby-sitter - she is one!","August 1990","Plus, Aunt Cecelia is a drill sergeant. She tells Jessi when to go to bed, how to wear her hair, and she even forbids her to go to a Baby-sitters Club meeting."
"1585612804-1082","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Three","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Three","Dawn, Diary Three","California Diaries","11","Ann M. Martin","null","Missing. Losing. Hurt.","February 1999","Dawn and Sunny used to be best friends, but now it seems like nothing can get them to talk to each other and resolve their issues. Dawn misses her former friend, even if she can’t admit it."
"1585612955-1347","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph","Claudia and the Clue in the Photograph","The Baby-Sitter's Club Mystery","16","Ann M. Martin, Ellen Miles","Hodges Soileau","Has Claudia caught a thief — on film?","August 1994","Claudia, Stacey, Becca, and Charlotte go over to the bank for some detective work & while Stacey is turning in some penny rolls, she notices the man talking with something other bank employees. Later on during a BSC stakeout of the bank, Shannon discovers that the man is Mr. Zibreski, vice-president of the bank. Since the police now believe that the robbery was an inside job and it probably happened while Claudia and the kids were there taking pictures of the bank."
"1585612846-1162","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Halloween_Mystery","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Halloween_Mystery","Dawn and the Halloween Mystery","The Baby-Sitters Club Mystery","17","Ann M. Martin, Ellen Miles","Hodges Soileau","This is one Fright Night Dawn will never forget!","October 1994","Dawn has been babysitting for Erick & Ryan DeWitt a lot lately & they have a new friend named Timmy Ford. Timmy and his father have just moved in across the street. Timmy’s nice, but really shy, plus he’s having some family issues; his mom isn’t around at the moment and his dad works a lot & they also have some money problems. Timmy doesn’t think that he’ll be allowed to attend the We Love Kids Club Halloween party that’s being held in place of trick or treating. Dawn and the salesperson at the variety store help Timmy put together a costume so he can celebrate Halloween with his new friends. Another robbery occurs on that same day."
"1585612994-1443","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Island_Adventure","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Island_Adventure","Baby-sitters' Island Adventure","Super Special","4","Ann M. Martin","Hodges Soileau","Who thought they'd end up...shipwrecked?","July 1990",""
"1585612481-476","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Great_Romance","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Great_Romance","Mary Anne and the Great Romance","The Baby-Sitters Club","30","Ann M. Martin","Hodges Soileau","It's Mary Anne and Dawn's dream come true!","January 1990","Dear Reader,"
"1585612616-705","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster","Kristy and the Walking Disaster","The Baby-Sitters Club","20","Ann M. Martin","Hodges Soileau","Guess which one's the walking disaster!","January 1989 (original)
 December 1996 (reprint)","Kristy and the Walking Disaster is the 20th book in the original The Baby-Sitters Club series. This is the final book that Brenda Bowen edited. Starting with #21, Bethany Buck took over editing duties."
"1585612568-635","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Kristy%27s_Mystery_Admirer","https://babysittersclub.fandom.com/wiki/Kristy%27s_Mystery_Admirer","Kristy's Mystery Admirer","The Baby-Sitters Club","38","Ann M. Martin","Hodges Soileau","Who is sending Kristy love letters?","October 1990","Kristy and Shannon are pretty sure the letters are from Bart, Kristy's rival softball coach. But then the notes Kristy receives from her mystery admirer start getting a little weird...and creepy."
"1585612793-1065","https://github.com/datasittersclub/dscm3/blob/master/bsc_wiki_links.md","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Move","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Move","Dawn's Big Move","The Baby-Sitters Club","67","Ann M. Martin, Peter Lerangis","Hodges Soileau","How could Dawn leave her best friends?","September 1993 (original)","Dear Reader,"
