web-scraper-order,web-scraper-start-url,pagelink,pagelink-href
"1585280073-203","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Middle School Vandal","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Middle_School_Vandal"
"1585280073-232","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mallory Pike, No. 1 Fan","https://babysittersclub.fandom.com/wiki/Mallory_Pike,_No._1_Fan"
"1585280073-277","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey's Big Crush","https://babysittersclub.fandom.com/wiki/Stacey%27s_Big_Crush"
"1585280073-271","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Mystery of Stoneybrook","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_of_Stoneybrook"
"1585280059-59","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Dawn and the Surfer Ghost","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Surfer_Ghost"
"1585280073-282","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey's Ex-Boyfriend","https://babysittersclub.fandom.com/wiki/Stacey%27s_Ex-Boyfriend"
"1585280059-51","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Beware, Dawn","https://babysittersclub.fandom.com/wiki/Beware,_Dawn"
"1585280059-66","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Kristy and the Missing Fortune","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Missing_Fortune"
"1585280073-239","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Library Mystery","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Library_Mystery"
"1585280066-89","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Baby-sitters' Island Adventure","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Island_Adventure"
"1585280073-112","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Kristy books","https://babysittersclub.fandom.com/wiki/Category:Kristy_books"
"1585280073-228","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mallory and the Trouble with Twins","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Trouble_with_Twins"
"1585280059-75","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Mary Anne and the Zoo Mystery","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Zoo_Mystery"
"1585280073-208","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Secret of Susan","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Secret_of_Susan"
"1585280073-136","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Lighthouse Ghost","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Lighthouse_Ghost"
"1585280073-269","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Mystery at the Mall","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Mystery_at_the_Mall"
"1585280043-34","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Kristy's Big News","https://babysittersclub.fandom.com/wiki/Kristy%27s_Big_News"
"1585280066-100","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Karen's Plane Trip","https://babysittersclub.fandom.com/wiki/Karen%27s_Plane_Trip"
"1585280073-131","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Bad Joke","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Bad_Joke"
"1585280073-272","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Stolen Hearts","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Stolen_Hearts"
"1585280073-143","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Phantom Phone Calls","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Phantom_Phone_Calls"
"1585280073-148","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia Kishi, Live From WSTO!","https://babysittersclub.fandom.com/wiki/Claudia_Kishi,_Live_From_WSTO!"
"1585280073-117","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Abby and the Mystery Baby","https://babysittersclub.fandom.com/wiki/Abby_and_the_Mystery_Baby"
"1585280059-50","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Abby and the Secret Society","https://babysittersclub.fandom.com/wiki/Abby_and_the_Secret_Society"
"1585280073-191","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi's Gold Medal","https://babysittersclub.fandom.com/wiki/Jessi%27s_Gold_Medal"
"1585280073-230","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mallory Hates Boys (and Gym)","https://babysittersclub.fandom.com/wiki/Mallory_Hates_Boys_(and_Gym)"
"1585280073-198","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Baby Parade","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Baby_Parade"
"1585280036-25","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Sunny, Diary Two","https://babysittersclub.fandom.com/wiki/Sunny,_Diary_Two"
"1585280059-70","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Mary Anne and the Haunted Bookstore","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Haunted_Bookstore"
"1585280073-246","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Silent Witness","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Silent_Witness"
"1585280059-68","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Kristy and the Vampires","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Vampires"
"1585280073-196","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy + Bart = ?","https://babysittersclub.fandom.com/wiki/Kristy_%2B_Bart_%3D_%3F"
"1585280073-209","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Sister War","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Sister_War"
"1585280073-298","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Welcome to the BSC, Abby!","https://babysittersclub.fandom.com/wiki/Welcome_to_the_BSC,_Abby!"
"1585280073-133","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the First Thanksgiving","https://babysittersclub.fandom.com/wiki/Claudia_and_the_First_Thanksgiving"
"1585280043-39","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Stacey's Problem","https://babysittersclub.fandom.com/wiki/Stacey%27s_Problem"
"1585280073-189","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi's Baby-sitter","https://babysittersclub.fandom.com/wiki/Jessi%27s_Baby-sitter"
"1585280043-26","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Baby-sitters Club: Friends Forever","https://babysittersclub.fandom.com/wiki/Baby-sitters_Club:_Friends_Forever"
"1585280073-157","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and the Impossible Three","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Impossible_Three"
"1585280050-46","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books","Portrait Collection","https://babysittersclub.fandom.com/wiki/Portrait_Collection"
"1585280073-170","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn's Wicked Stepsister","https://babysittersclub.fandom.com/wiki/Dawn%27s_Wicked_Stepsister"
"1585280059-55","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Claudia and the Mystery in the Painting","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Mystery_in_the_Painting"
"1585280073-162","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and Too Many Sitters","https://babysittersclub.fandom.com/wiki/Dawn_and_Too_Many_Sitters"
"1585280073-288","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Super mysteries","https://babysittersclub.fandom.com/wiki/Category:Super_mysteries"
"1585280043-31","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Graduation Day","https://babysittersclub.fandom.com/wiki/Graduation_Day"
"1585280073-161","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and the We Love Kids Club","https://babysittersclub.fandom.com/wiki/Dawn_and_the_We_Love_Kids_Club"
"1585280073-261","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Portrait Collection books","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books"
"1585280066-85","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Aloha, Baby-sitters!","https://babysittersclub.fandom.com/wiki/Aloha,_Baby-sitters!"
"1585280073-221","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy's Worst Idea","https://babysittersclub.fandom.com/wiki/Kristy%27s_Worst_Idea"
"1585280036-12","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Amalia, Diary Three","https://babysittersclub.fandom.com/wiki/Amalia,_Diary_Three"
"1585280059-84","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","The Mystery at Claudia's House","https://babysittersclub.fandom.com/wiki/The_Mystery_at_Claudia%27s_House"
"1585280024-1","https://babysittersclub.fandom.com/wiki/Category:Super_mysteries","Baby-sitters Beware","https://babysittersclub.fandom.com/wiki/Baby-sitters_Beware"
"1585280073-202","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Haunted Mansion","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Haunted_Mansion"
"1585280036-15","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Dawn, Diary Three","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Three"
"1585280073-273","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey McGill, Super Sitter","https://babysittersclub.fandom.com/wiki/Stacey_McGill,_Super_Sitter"
"1585280073-132","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Clue in the Photograph","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Clue_in_the_Photograph"
"1585280073-109","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","The Baby-Sitters Club","https://babysittersclub.fandom.com/wiki/The_Baby-Sitters_Club"
"1585280073-121","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Abby in Wonderland","https://babysittersclub.fandom.com/wiki/Abby_in_Wonderland"
"1585280043-35","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Mary Anne's Big Breakup","https://babysittersclub.fandom.com/wiki/Mary_Anne%27s_Big_Breakup"
"1585280073-192","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi's Horrible Prank","https://babysittersclub.fandom.com/wiki/Jessi%27s_Horrible_Prank"
"1585280036-18","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Ducky, Diary Three","https://babysittersclub.fandom.com/wiki/Ducky,_Diary_Three"
"1585280073-164","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn on the Coast","https://babysittersclub.fandom.com/wiki/Dawn_on_the_Coast"
"1585280073-264","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey and the Cheerleaders","https://babysittersclub.fandom.com/wiki/Stacey_and_the_Cheerleaders"
"1585280073-141","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the New Girl","https://babysittersclub.fandom.com/wiki/Claudia_and_the_New_Girl"
"1585280073-176","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Hello, Mallory","https://babysittersclub.fandom.com/wiki/Hello,_Mallory"
"1585280073-297","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Welcome Back, Stacey!","https://babysittersclub.fandom.com/wiki/Welcome_Back,_Stacey!"
"1585280073-254","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne vs. Logan","https://babysittersclub.fandom.com/wiki/Mary_Anne_vs._Logan"
"1585280066-92","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","BSC in the USA","https://babysittersclub.fandom.com/wiki/BSC_in_the_USA"
"1585280073-289","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Super Special books","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books"
"1585280073-212","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Walking Disaster","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Walking_Disaster"
"1585280073-182","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi and the Bad Baby-sitter","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Bad_Baby-sitter"
"1585280059-69","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Mallory and the Ghost Cat","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Ghost_Cat"
"1585280073-145","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Sad Good-bye","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Sad_Good-bye"
"1585280059-64","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Kristy and the Middle School Vandal","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Middle_School_Vandal"
"1585280073-111","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Dawn books","https://babysittersclub.fandom.com/wiki/Category:Dawn_books"
"1585280036-10","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","California Diaries","https://babysittersclub.fandom.com/wiki/California_Diaries"
"1585280073-262","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Category:Readers' Request books","https://babysittersclub.fandom.com/wiki/Category:Readers%27_Request_books"
"1585280024-4","https://babysittersclub.fandom.com/wiki/Category:Super_mysteries","Baby-sitters' Haunted House","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Haunted_House"
"1585280073-165","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn Saves the Planet","https://babysittersclub.fandom.com/wiki/Dawn_Saves_the_Planet"
"1585280059-58","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Dawn and the Halloween Mystery","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Halloween_Mystery"
"1585280050-43","https://babysittersclub.fandom.com/wiki/Category:Portrait_Collection_books","Dawn's Book","https://babysittersclub.fandom.com/wiki/Dawn%27s_Book"
"1585280073-142","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Perfect Boy","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Perfect_Boy"
"1585280066-108","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","The Baby-sitters Remember","https://babysittersclub.fandom.com/wiki/The_Baby-sitters_Remember"
"1585280073-169","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn's Family Feud","https://babysittersclub.fandom.com/wiki/Dawn%27s_Family_Feud"
"1585280073-234","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne + 2 Many Babies","https://babysittersclub.fandom.com/wiki/Mary_Anne_%2B_2_Many_Babies"
"1585280036-16","https://babysittersclub.fandom.com/wiki/Category:California_Diaries_series","Dawn, Diary Two","https://babysittersclub.fandom.com/wiki/Dawn,_Diary_Two"
"1585280066-104","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Sea City, Here We Come!","https://babysittersclub.fandom.com/wiki/Sea_City,_Here_We_Come!"
"1585280073-124","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Abby's Twin","https://babysittersclub.fandom.com/wiki/Abby%27s_Twin"
"1585280073-281","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey's Ex-Best Friend","https://babysittersclub.fandom.com/wiki/Stacey%27s_Ex-Best_Friend"
"1585280073-244","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Search for Tigger","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Search_for_Tigger"
"1585280073-211","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Vampires","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Vampires"
"1585280073-247","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mary Anne and the Zoo Mystery","https://babysittersclub.fandom.com/wiki/Mary_Anne_and_the_Zoo_Mystery"
"1585280024-2","https://babysittersclub.fandom.com/wiki/Category:Super_mysteries","Baby-sitters' Christmas Chiller","https://babysittersclub.fandom.com/wiki/Baby-sitters%27_Christmas_Chiller"
"1585280073-149","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia Kishi, Middle School Dropout","https://babysittersclub.fandom.com/wiki/Claudia_Kishi,_Middle_School_Dropout"
"1585280073-213","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Kristy and the Worst Kid Ever","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Worst_Kid_Ever"
"1585280059-57","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Dawn and the Disappearing Dogs","https://babysittersclub.fandom.com/wiki/Dawn_and_the_Disappearing_Dogs"
"1585280073-163","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn and Whitney, Friends Forever","https://babysittersclub.fandom.com/wiki/Dawn_and_Whitney,_Friends_Forever"
"1585280043-32","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Kristy and the Kidnapper","https://babysittersclub.fandom.com/wiki/Kristy_and_the_Kidnapper"
"1585280073-168","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn's Big Move","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Move"
"1585280066-102","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Karen, Hannie, and Nancy","https://babysittersclub.fandom.com/wiki/Karen,_Hannie,_and_Nancy"
"1585280073-140","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Claudia and the Mystery in the Painting","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Mystery_in_the_Painting"
"1585280073-285","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Stacey's Movie","https://babysittersclub.fandom.com/wiki/Stacey%27s_Movie"
"1585280073-167","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Dawn's Big Date","https://babysittersclub.fandom.com/wiki/Dawn%27s_Big_Date"
"1585280059-56","https://babysittersclub.fandom.com/wiki/Category:Mystery_books","Claudia and the Recipe for Danger","https://babysittersclub.fandom.com/wiki/Claudia_and_the_Recipe_for_Danger"
"1585280066-96","https://babysittersclub.fandom.com/wiki/Category:Super_Special_books","Here Come the Bridesmaids!","https://babysittersclub.fandom.com/wiki/Here_Come_the_Bridesmaids!"
"1585280043-38","https://babysittersclub.fandom.com/wiki/Category:Friends_Forever_series","Stacey vs. Claudia","https://babysittersclub.fandom.com/wiki/Stacey_vs._Claudia"
"1585280073-225","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Mallory and the Dream Horse","https://babysittersclub.fandom.com/wiki/Mallory_and_the_Dream_Horse"
"1585280073-181","https://babysittersclub.fandom.com/wiki/Category:The_Baby-Sitters_Club_series","Jessi and the Awful Secret","https://babysittersclub.fandom.com/wiki/Jessi_and_the_Awful_Secret"
